customer_id,order_date,order_id,order_status,payment_id,payment_type,product_category,product_id,quantity,table,total_price,unit_price
CUST0473,2024-10-28,ORD00591,Cancelled,PAY_EXTRA_6252,PayPal,Electronics,PROD0038,1,Order_Items,127.87,127.87
CUST0914,2025-04-04,ORD02300,Processing,PAY_EXTRA_4684,Bank Transfer,Toys,PROD0028,5,Order_Items,1065.75,213.15
CUST0491,2024-08-23,ORD02618,Shipped,PAY_EXTRA_1731,Bank Transfer,Electronics,PROD0064,2,Order_Items,25.9,12.95
CUST0901,2025-05-10,ORD00737,Cancelled,PAY_EXTRA_4742,PayPal,Clothing,PROD0021,4,Order_Items,871.24,217.81
CUST0063,2025-02-28,ORD00457,Cancelled,PAY_EXTRA_4521,PayPal,Electronics,PROD0053,1,Order_Items,205.51,205.51
CUST0535,2025-06-17,ORD02893,Processing,PAY_EXTRA_6340,Credit Card,Toys,PROD0009,4,Order_Items,534.6,133.65
CUST0463,2024-10-25,ORD02654,Processing,PAY_EXTRA_576,Bank Transfer,Grocery,PROD0037,1,Order_Items,214.34,214.34
CUST0317,2024-12-25,ORD02937,Processing,PAY_EXTRA_5202,Bank Transfer,Home,PROD0043,3,Order_Items,799.41,266.47
CUST0940,2025-04-14,ORD00179,Cancelled,PAY_EXTRA_6363,Credit Card,Beauty,PROD0063,2,Order_Items,530.22,265.11
CUST0250,2025-06-01,ORD01791,Delivered,PAY_EXTRA_439,Credit Card,Beauty,PROD0025,1,Order_Items,237.31,237.31
CUST0298,2025-07-24,ORD02984,Delivered,PAY_EXTRA_2750,PayPal,Toys,PROD0076,2,Order_Items,209.9,104.95
CUST0186,2025-01-13,ORD02793,Cancelled,PAY_EXTRA_7487,PayPal,Books,PROD0005,3,Order_Items,609.51,203.17
CUST0745,2024-12-28,ORD02238,Delivered,PAY_EXTRA_5272,Bank Transfer,Beauty,PROD0025,2,Order_Items,188.42,94.21
CUST0284,2025-02-06,ORD02335,Processing,PAY_EXTRA_5653,Bank Transfer,Beauty,PROD0034,1,Order_Items,118.23,118.23
CUST0056,2025-07-20,ORD02594,Delivered,PAY_EXTRA_3999,PayPal,Clothing,PROD0041,1,Order_Items,187.0,187.0
CUST0825,2025-01-20,ORD01108,Processing,PAY_EXTRA_6033,Credit Card,Grocery,PROD0092,2,Order_Items,241.3,120.65
CUST0153,2025-06-27,ORD01575,Shipped,PAY_EXTRA_582,Bank Transfer,Grocery,PROD0040,5,Order_Items,1194.95,238.99
