order_id,product_id,quantity,unit_price,total_price
ORD00591,PROD0038,1,127.87,127.87
ORD02300,PROD0028,5,213.15,1065.75
ORD02618,PROD0064,2,12.95,25.9
ORD00737,PROD0021,4,217.81,871.24
ORD00457,PROD0053,1,205.51,205.51
ORD02893,PROD0009,4,133.65,534.6
ORD02654,PROD0037,1,214.34,214.34
ORD02937,PROD0043,3,266.47,799.41
ORD00179,PROD0063,2,265.11,530.22
ORD01791,PROD0025,1,237.31,237.31
ORD02984,PROD0076,2,104.95,209.9
ORD02793,PROD0005,3,203.17,609.51
ORD02238,PROD0025,2,94.21,188.42
ORD02335,PROD0034,1,118.23,118.23
ORD02594,PROD0041,1,187.0,187.0
ORD01108,PROD0092,2,120.65,241.3
ORD01575,PROD0040,5,238.99,1194.95
ORD02561,PROD0028,2,165.9,331.8
ORD00136,PROD0066,5,293.91,1469.55
ORD02417,PROD0009,2,224.61,449.22
ORD01920,PROD0033,5,173.82,869.1
ORD01074,PROD0013,1,196.97,196.97
ORD00567,PROD0034,3,251.4,754.2
ORD00565,PROD0038,3,15.8,47.4
ORD01321,PROD0049,1,160.14,160.14
ORD02196,PROD0078,3,64.9,194.7
ORD00812,PROD0057,1,197.73,197.73
ORD01765,PROD0041,5,34.69,173.45
ORD02471,PROD0047,2,94.14,188.28
ORD00726,PROD0038,5,28.53,142.65
ORD02018,PROD0062,4,233.29,933.16
ORD00080,PROD0096,2,161.73,323.46
ORD01331,PROD0079,1,51.48,51.48
ORD00405,PROD0048,5,225.86,1129.3
ORD01114,PROD0053,4,203.33,813.32
ORD01020,PROD0076,5,213.41,1067.05
ORD01799,PROD0017,4,137.82,551.28
ORD00198,PROD0044,4,294.47,1177.88
ORD01315,PROD0052,1,297.97,297.97
ORD02384,PROD0089,5,165.32,826.6
ORD02014,PROD0067,5,25.17,125.85
ORD01137,PROD0010,1,130.76,130.76
ORD02853,PROD0019,2,44.64,89.28
ORD02357,PROD0037,4,138.52,554.08
ORD00797,PROD0014,4,241.7,966.8
ORD00728,PROD0088,3,54.33,162.99
ORD01593,PROD0040,2,42.03,84.06
ORD02847,PROD0093,3,181.75,545.25
ORD00466,PROD0058,2,187.93,375.86
ORD00354,PROD0035,5,184.42,922.1
ORD01840,PROD0097,4,60.64,242.56
ORD02706,PROD0093,3,148.18,444.54
ORD01169,PROD0070,4,151.52,606.08
ORD02239,PROD0011,5,172.47,862.35
ORD01340,PROD0037,1,247.65,247.65
ORD01718,PROD0012,1,94.32,94.32
ORD00081,PROD0010,4,66.79,267.16
ORD01876,PROD0025,3,81.49,244.47
ORD02737,PROD0049,3,91.72,275.16
ORD00106,PROD0077,5,208.07,1040.35
ORD01632,PROD0092,2,142.73,285.46
ORD02978,PROD0042,4,63.41,253.64
ORD01943,PROD0035,1,202.0,202.0
ORD01097,PROD0021,5,250.69,1253.45
ORD02608,PROD0013,2,193.2,386.4
ORD01951,PROD0093,1,57.39,57.39
ORD01748,PROD0017,4,160.88,643.52
ORD00930,PROD0029,5,268.96,1344.8
ORD00119,PROD0063,2,239.46,478.92
ORD01510,PROD0074,3,167.19,501.57
ORD01455,PROD0086,4,235.71,942.84
ORD02164,PROD0019,2,76.36,152.72
ORD00980,PROD0074,1,277.61,277.61
ORD00862,PROD0021,3,19.16,57.48
ORD01020,PROD0090,5,121.7,608.5
ORD01881,PROD0066,5,132.0,660.0
ORD01052,PROD0010,4,208.29,833.16
ORD00964,PROD0006,3,122.98,368.94
ORD01369,PROD0026,1,183.08,183.08
ORD02870,PROD0023,5,188.57,942.85
ORD01918,PROD0005,2,75.8,151.6
ORD01044,PROD0035,4,114.21,456.84
ORD01072,PROD0042,3,92.34,277.02
ORD02054,PROD0027,1,126.4,126.4
ORD00520,PROD0073,5,257.73,1288.65
ORD02338,PROD0042,3,55.76,167.28
ORD02512,PROD0064,3,149.23,447.69
ORD00451,PROD0016,3,153.29,459.87
ORD01698,PROD0052,2,287.24,574.48
ORD02028,PROD0030,3,20.5,61.5
ORD02316,PROD0014,2,290.06,580.12
ORD01986,PROD0047,5,215.44,1077.2
ORD00822,PROD0100,1,139.55,139.55
ORD00016,PROD0012,4,205.09,820.36
ORD00127,PROD0077,5,172.78,863.9
ORD02975,PROD0077,3,273.4,820.2
ORD02069,PROD0085,4,69.52,278.08
ORD00854,PROD0003,5,194.69,973.45
ORD00453,PROD0019,4,28.9,115.6
ORD02344,PROD0066,2,101.46,202.92
ORD00351,PROD0064,3,65.58,196.74
ORD00357,PROD0045,4,127.79,511.16
ORD01473,PROD0050,4,260.52,1042.08
ORD02296,PROD0067,1,100.44,100.44
ORD02111,PROD0025,4,178.74,714.96
ORD00120,PROD0070,1,237.0,237.0
ORD02449,PROD0002,4,56.36,225.44
ORD01246,PROD0057,5,199.15,995.75
ORD00113,PROD0095,5,171.62,858.1
ORD02532,PROD0013,1,20.72,20.72
ORD02416,PROD0005,2,81.53,163.06
ORD00316,PROD0066,2,26.08,52.16
ORD01776,PROD0100,5,136.4,682.0
ORD00134,PROD0039,3,25.25,75.75
ORD02843,PROD0054,3,240.93,722.79
ORD01760,PROD0071,5,70.97,354.85
ORD02398,PROD0008,5,211.16,1055.8
ORD00527,PROD0092,4,260.49,1041.96
ORD00631,PROD0021,2,14.47,28.94
ORD01763,PROD0065,5,269.46,1347.3
ORD00572,PROD0094,1,121.84,121.84
ORD02367,PROD0025,4,59.54,238.16
ORD01622,PROD0010,3,213.04,639.12
ORD01068,PROD0047,4,57.64,230.56
ORD00215,PROD0023,3,177.18,531.54
ORD01203,PROD0065,3,55.3,165.9
ORD02988,PROD0070,1,237.7,237.7
ORD00976,PROD0047,4,62.92,251.68
ORD02365,PROD0045,5,106.97,534.85
