order_id,customer_id,order_date,payment_type,order_status
ORD00591,CUST0473,2024-10-28,PayPal,Cancelled
ORD02300,CUST0914,2025-04-04,Bank Transfer,Processing
ORD02618,CUST0491,2024-08-23,Bank Transfer,Shipped
ORD00737,CUST0901,2025-05-10,PayPal,Cancelled
ORD00457,CUST0063,2025-02-28,PayPal,Cancelled
ORD02893,CUST0535,2025-06-17,Credit Card,Processing
ORD02654,CUST0463,2024-10-25,Bank Transfer,Processing
ORD02937,CUST0317,2024-12-25,Bank Transfer,Processing
ORD00179,CUST0940,2025-04-14,Credit Card,Cancelled
ORD01791,CUST0250,2025-06-01,Credit Card,Delivered
ORD02984,CUST0298,2025-07-24,PayPal,Delivered
ORD02793,CUST0186,2025-01-13,PayPal,Cancelled
ORD02238,CUST0745,2024-12-28,Bank Transfer,Delivered
ORD02335,CUST0284,2025-02-06,Bank Transfer,Processing
ORD02594,CUST0056,2025-07-20,PayPal,Delivered
ORD01108,CUST0825,2025-01-20,Credit Card,Processing
ORD01575,CUST0153,2025-06-27,Bank Transfer,Shipped
ORD02561,CUST0007,2024-09-10,Credit Card,Delivered
ORD00136,CUST0229,2024-08-18,Credit Card,Delivered
ORD02417,CUST0592,2025-06-19,PayPal,Delivered
ORD01920,CUST0877,2024-09-19,PayPal,Delivered
ORD01074,CUST0941,2025-07-05,Bank Transfer,Shipped
ORD00567,CUST0939,2025-04-18,PayPal,Processing
ORD00565,CUST0291,2024-08-22,PayPal,Delivered
ORD01321,CUST0601,2025-02-20,Credit Card,Processing
ORD02196,CUST0781,2024-07-26,Bank Transfer,Processing
ORD00812,CUST0930,2025-06-23,Credit Card,Delivered
ORD01765,CUST0962,2025-07-13,PayPal,Shipped
ORD02471,CUST0473,2024-09-15,Bank Transfer,Delivered
ORD00726,CUST0752,2024-12-27,PayPal,Cancelled
ORD02018,CUST0260,2025-04-02,PayPal,Processing
ORD00080,CUST0223,2024-08-20,Credit Card,Shipped
ORD01331,CUST0872,2024-09-26,Bank Transfer,Shipped
