payment_id,order_id,customer_id,payment_type,total_price
PAY_EXTRA_6252,ORD00591,CUST0473,PayPal,127.87
PAY_EXTRA_4684,ORD02300,CUST0914,Bank Transfer,1065.75
PAY_EXTRA_1731,ORD02618,CUST0491,Bank Transfer,25.9
PAY_EXTRA_4742,ORD00737,CUST0901,PayPal,871.24
PAY_EXTRA_4521,ORD00457,CUST0063,PayPal,205.51
PAY_EXTRA_6340,ORD02893,CUST0535,Credit Card,534.6
PAY_EXTRA_576,ORD02654,CUST0463,Bank Transfer,214.34
PAY_EXTRA_5202,ORD02937,CUST0317,Bank Transfer,799.41
PAY_EXTRA_6363,ORD00179,CUST0940,Credit Card,530.22
PAY_EXTRA_439,ORD01791,CUST0250,Credit Card,237.31
PAY_EXTRA_2750,ORD02984,CUST0298,PayPal,209.9
PAY_EXTRA_7487,ORD02793,CUST0186,PayPal,609.51
PAY_EXTRA_5272,ORD02238,CUST0745,Bank Transfer,188.42
PAY_EXTRA_5653,ORD02335,CUST0284,Bank Transfer,118.23
PAY_EXTRA_3999,ORD02594,CUST0056,PayPal,187.0
PAY_EXTRA_6033,ORD01108,CUST0825,Credit Card,241.3
PAY_EXTRA_582,ORD01575,CUST0153,Bank Transfer,1194.95
PAY_EXTRA_9930,ORD02561,CUST0007,Credit Card,331.8
PAY_EXTRA_7051,ORD00136,CUST0229,Credit Card,1469.55
PAY_EXTRA_8158,ORD02417,CUST0592,PayPal,449.22
PAY_EXTRA_9896,ORD01920,CUST0877,PayPal,869.1
PAY_EXTRA_2249,ORD01074,CUST0941,Bank Transfer,196.97
PAY_EXTRA_4640,ORD00567,CUST0939,PayPal,754.2
PAY_EXTRA_9485,ORD00565,CUST0291,PayPal,47.4
PAY_EXTRA_4947,ORD01321,CUST0601,Credit Card,160.14
PAY_EXTRA_9920,ORD02196,CUST0781,Bank Transfer,194.7
PAY_EXTRA_1963,ORD00812,CUST0930,Credit Card,197.73
PAY_EXTRA_8243,ORD01765,CUST0962,PayPal,173.45
PAY_EXTRA_6590,ORD02471,CUST0473,Bank Transfer,188.28
PAY_EXTRA_8847,ORD00726,CUST0752,PayPal,142.65
PAY_EXTRA_321,ORD02018,CUST0260,PayPal,933.16
PAY_EXTRA_2678,ORD00080,CUST0223,Credit Card,323.46
PAY_EXTRA_4625,ORD01331,CUST0872,Bank Transfer,51.48
PAY_EXTRA_4949,ORD00405,CUST0851,Credit Card,1129.3
PAY_EXTRA_8328,ORD01114,CUST0284,Bank Transfer,813.32
PAY_EXTRA_3337,ORD01020,CUST0991,Bank Transfer,1067.05
PAY_EXTRA_5589,ORD01799,CUST0970,Credit Card,551.28
PAY_EXTRA_251,ORD00198,CUST0878,Bank Transfer,1177.88
PAY_EXTRA_3973,ORD01315,CUST0735,Credit Card,297.97
PAY_EXTRA_6630,ORD02384,CUST0336,PayPal,826.6
PAY_EXTRA_5547,ORD02014,CUST0485,PayPal,125.85
PAY_EXTRA_35,ORD01137,CUST0706,Credit Card,130.76
PAY_EXTRA_8362,ORD02853,CUST0784,Bank Transfer,89.28
PAY_EXTRA_1513,ORD02357,CUST0482,Credit Card,554.08
PAY_EXTRA_9317,ORD00797,CUST0355,PayPal,966.8
PAY_EXTRA_39,ORD00728,CUST0327,Credit Card,162.99
PAY_EXTRA_4819,ORD01593,CUST0974,PayPal,84.06
PAY_EXTRA_3465,ORD02847,CUST0270,PayPal,545.25
PAY_EXTRA_1760,ORD00466,CUST0874,Bank Transfer,375.86
PAY_EXTRA_2304,ORD00354,CUST0680,Bank Transfer,922.1
PAY_EXTRA_3723,ORD01840,CUST0103,Credit Card,242.56
PAY_EXTRA_8284,ORD02706,CUST0618,Bank Transfer,444.54
PAY_EXTRA_4993,ORD01169,CUST0869,Bank Transfer,606.08
PAY_EXTRA_8127,ORD02239,CUST0388,Bank Transfer,862.35
PAY_EXTRA_3032,ORD01340,CUST0458,Credit Card,247.65
PAY_EXTRA_7938,ORD01718,CUST0587,Bank Transfer,94.32
PAY_EXTRA_3039,ORD00081,CUST0766,PayPal,267.16
PAY_EXTRA_9655,ORD01876,CUST0070,PayPal,244.47
PAY_EXTRA_2545,ORD02737,CUST0596,PayPal,275.16
PAY_EXTRA_2592,ORD00106,CUST0962,Credit Card,1040.35
PAY_EXTRA_1188,ORD01632,CUST0516,Bank Transfer,285.46
PAY_EXTRA_7966,ORD02978,CUST0765,PayPal,253.64
PAY_EXTRA_6077,ORD01943,CUST0647,Bank Transfer,202.0
PAY_EXTRA_107,ORD01097,CUST0794,Bank Transfer,1253.45
PAY_EXTRA_1315,ORD02608,CUST0883,Credit Card,386.4
PAY_EXTRA_8187,ORD01951,CUST0875,Credit Card,57.39
PAY_EXTRA_2753,ORD01748,CUST0913,Bank Transfer,643.52
PAY_EXTRA_9753,ORD00930,CUST0268,Bank Transfer,1344.8
PAY_EXTRA_6231,ORD00119,CUST0078,Bank Transfer,478.92
PAY_EXTRA_2876,ORD01510,CUST0351,PayPal,501.57
PAY_EXTRA_5323,ORD01455,CUST0306,Bank Transfer,942.84
PAY_EXTRA_799,ORD02164,CUST0926,PayPal,152.72
PAY_EXTRA_3570,ORD00980,CUST0620,Bank Transfer,277.61
PAY_EXTRA_2894,ORD00862,CUST0593,Credit Card,57.48
PAY_EXTRA_2927,ORD01020,CUST0991,Bank Transfer,608.5
PAY_EXTRA_8178,ORD01881,CUST0295,Credit Card,660.0
PAY_EXTRA_971,ORD01052,CUST0449,Bank Transfer,833.16
PAY_EXTRA_6687,ORD00964,CUST0512,PayPal,368.94
PAY_EXTRA_8575,ORD01369,CUST0205,Credit Card,183.08
PAY_EXTRA_2020,ORD02870,CUST0345,PayPal,942.85
PAY_EXTRA_9054,ORD01918,CUST0834,Credit Card,151.6
PAY_EXTRA_952,ORD01044,CUST0475,Bank Transfer,456.84
PAY_EXTRA_5359,ORD01072,CUST0361,PayPal,277.02
PAY_EXTRA_3857,ORD02054,CUST0195,Bank Transfer,126.4
PAY_EXTRA_5861,ORD00520,CUST0944,Credit Card,1288.65
PAY_EXTRA_3145,ORD02338,CUST0281,Credit Card,167.28
PAY_EXTRA_3305,ORD02512,CUST0554,Credit Card,447.69
PAY_EXTRA_3006,ORD00451,CUST0488,PayPal,459.87
PAY_EXTRA_9001,ORD01698,CUST0572,Credit Card,574.48
PAY_EXTRA_7770,ORD02028,CUST0381,Credit Card,61.5
PAY_EXTRA_7438,ORD02316,CUST0463,PayPal,580.12
PAY_EXTRA_7942,ORD01986,CUST0849,PayPal,1077.2
PAY_EXTRA_9238,ORD00822,CUST0911,Credit Card,139.55
PAY_EXTRA_1056,ORD00016,CUST0371,Credit Card,820.36
PAY_EXTRA_3154,ORD00127,CUST0998,Bank Transfer,863.9
PAY_EXTRA_3787,ORD02975,CUST0792,PayPal,820.2
PAY_EXTRA_9189,ORD02069,CUST0370,Bank Transfer,278.08
PAY_EXTRA_7825,ORD00854,CUST0735,Bank Transfer,973.45
PAY_EXTRA_7539,ORD00453,CUST0463,Bank Transfer,115.6
PAY_EXTRA_7231,ORD02344,CUST0073,PayPal,202.92
PAY_EXTRA_764,ORD00351,CUST0240,PayPal,196.74
PAY_EXTRA_5019,ORD00357,CUST0891,Credit Card,511.16
PAY_EXTRA_4903,ORD01473,CUST0132,Bank Transfer,1042.08
PAY_EXTRA_8093,ORD02296,CUST0339,PayPal,100.44
PAY_EXTRA_6843,ORD02111,CUST0081,Credit Card,714.96
PAY_EXTRA_2165,ORD00120,CUST0559,Credit Card,237.0
PAY_EXTRA_1862,ORD02449,CUST0497,Credit Card,225.44
PAY_EXTRA_7850,ORD01246,CUST0718,Bank Transfer,995.75
PAY_EXTRA_9123,ORD00113,CUST0650,PayPal,858.1
PAY_EXTRA_2340,ORD02532,CUST0348,Credit Card,20.72
PAY_EXTRA_5527,ORD02416,CUST0191,PayPal,163.06
PAY_EXTRA_6743,ORD00316,CUST0329,Bank Transfer,52.16
PAY_EXTRA_4003,ORD01776,CUST0375,Bank Transfer,682.0
PAY_EXTRA_1123,ORD00134,CUST0228,Credit Card,75.75
PAY_EXTRA_8709,ORD02843,CUST0500,Credit Card,722.79
PAY_EXTRA_4049,ORD01760,CUST0679,Credit Card,354.85
PAY_EXTRA_7640,ORD02398,CUST0113,PayPal,1055.8
PAY_EXTRA_765,ORD00527,CUST0091,PayPal,1041.96
PAY_EXTRA_2344,ORD00631,CUST0247,Bank Transfer,28.94
PAY_EXTRA_4071,ORD01763,CUST0580,Bank Transfer,1347.3
PAY_EXTRA_7216,ORD00572,CUST0687,Bank Transfer,121.84
PAY_EXTRA_4216,ORD02367,CUST0838,Bank Transfer,238.16
PAY_EXTRA_7952,ORD01622,CUST0624,Bank Transfer,639.12
PAY_EXTRA_5970,ORD01068,CUST0469,Credit Card,230.56
PAY_EXTRA_3350,ORD00215,CUST0020,Bank Transfer,531.54
PAY_EXTRA_4695,ORD01203,CUST0730,Bank Transfer,165.9
PAY_EXTRA_3399,ORD02988,CUST0137,PayPal,237.7
PAY_EXTRA_4081,ORD00976,CUST0810,Bank Transfer,251.68
PAY_EXTRA_9149,ORD02365,CUST0290,PayPal,534.85
PAY_EXTRA_1224,ORD02054,CUST0195,Bank Transfer,138.88
PAY_EXTRA_6292,ORD01862,CUST0744,Bank Transfer,830.95
PAY_EXTRA_3122,ORD01054,CUST0046,Bank Transfer,692.45
PAY_EXTRA_510,ORD00641,CUST0324,PayPal,443.54
PAY_EXTRA_5794,ORD01357,CUST0722,Credit Card,1131.56
PAY_EXTRA_8181,ORD01284,CUST0663,PayPal,327.39
PAY_EXTRA_9417,ORD01962,CUST0642,Credit Card,756.21
PAY_EXTRA_96,ORD00544,CUST0481,PayPal,956.45
PAY_EXTRA_6681,ORD02251,CUST0623,PayPal,59.26
PAY_EXTRA_1512,ORD01765,CUST0962,PayPal,80.26
PAY_EXTRA_8791,ORD02034,CUST0129,PayPal,396.24
PAY_EXTRA_119,ORD01709,CUST0784,PayPal,148.4
PAY_EXTRA_7791,ORD02524,CUST0499,Credit Card,386.48
PAY_EXTRA_6517,ORD01453,CUST0524,Bank Transfer,266.34
PAY_EXTRA_33,ORD02598,CUST0648,PayPal,273.61
PAY_EXTRA_7887,ORD02800,CUST0085,PayPal,216.81
PAY_EXTRA_6830,ORD02691,CUST0486,PayPal,599.0
PAY_EXTRA_5421,ORD00318,CUST0422,Bank Transfer,747.44
PAY_EXTRA_1068,ORD01189,CUST0401,Bank Transfer,1029.7
PAY_EXTRA_1347,ORD02670,CUST0469,PayPal,754.23
PAY_EXTRA_4747,ORD01291,CUST0492,Bank Transfer,418.59
PAY_EXTRA_6005,ORD01216,CUST0123,Bank Transfer,295.77
PAY_EXTRA_6039,ORD00184,CUST0461,PayPal,174.93
PAY_EXTRA_3817,ORD00510,CUST0614,Credit Card,108.54
PAY_EXTRA_8446,ORD00210,CUST0052,PayPal,817.65
PAY_EXTRA_5269,ORD00343,CUST0957,Bank Transfer,322.5
PAY_EXTRA_6897,ORD00678,CUST0220,Bank Transfer,415.0
PAY_EXTRA_5309,ORD02971,CUST0615,PayPal,454.0
